Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.0000309
2,2,0.0000223
3,3,0.0000633
4,5,0.0038126
5,5,0.0011322
6,6,0.8782509
7,7,0.1514299
8,8,1.9599727
