Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000000875
2,2,0.000002461
3,3,0.000004307
4,4,0.000005443
5,5,0.000012499
6,6,0.000062574
7,7,0.001660021
8,8,0.098211984
