Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000000826
2,2,0.000005903
3,3,0.000014387
4,4,0.000049983
5,5,0.000190896
6,6,0.012095122
7,7,0.014814116
8,8,0.204385302
9,9,0.814047927
10,10,0.84002137
