Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001752
2,2,0.000003036
3,3,0.000002934
4,4,0.000005206
5,5,0.000035042
6,6,0.000236885
7,7,0.000405917
8,8,0.123727486
9,9,0.245297751
10,10,0.790650494
