Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000000715
2,2,0.000005955
3,3,0.000005814
4,4,0.000059961
5,5,0.00000622
6,6,0.000037007
7,7,0.001631383
8,8,0.00240058
