Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000002555
2,2,0.00000138
3,3,0.000008374
4,4,0.000005169
5,5,0.000016772
6,6,0.001957477
7,7,0.001578637
8,8,0.002159846
