Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.0000151
2,2,0.0000645
3,3,0.0001634
4,4,0.0136671
5,5,0.0037366
6,6,0.0252368
7,7,0.006582
8,8,1.1033798
