Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.0000179
2,2,0.0001232
3,3,0.0001635
4,4,0.0229781
5,5,0.0225886
6,6,0.3001761
7,7,0.0231487
8,8,0.7962216
