Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001398
2,2,0.00000286
3,3,0.000003941
4,4,0.000011754
5,5,0.000010731
6,6,0.000025133
7,7,0.004594856
8,8,0.001648224
9,9,0.110549441
10,10,1.687601688
