Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000002011
2,2,0.000002464
3,3,0.000016104
4,4,0.000100873
5,5,0.00006235
6,6,0.000817862
7,7,0.00375809
8,8,0.087376259
9,9,2.212111945
10,10,0.440834007
