Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000004226
2,2,0.000003473
3,3,0.000006161
4,4,0.000006536
5,5,0.000006407
6,6,0.000121773
7,7,0.001723132
8,8,0.043310042
