Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001681
2,2,0.000002649
3,3,0.000005226
4,4,0.000006253
5,5,0.000024697
6,6,0.000021406
7,7,0.002299059
8,8,0.113070674
