Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.1606769
2,2,0.0000766
3,3,0.0000875
4,4,0.0002094
5,4,0.0002986
6,6,0.0052906
7,7,0.1249714
8,8,1.4681416
