Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000001356
2,2,0.000001959
3,3,0.000004643
4,4,0.000011098
5,5,0.000004819
6,6,0.000213928
7,7,0.00222488
8,8,0.093607456
9,9,0.282803631
10,10,1.934605948
