Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.061716539
2,2,0.00000424
3,3,0.000007569
4,4,0.000008887
5,5,0.000046845
6,6,0.000251065
7,7,0.003490273
8,8,0.003094179
9,9,0.120261126
10,10,3.838467217
