Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.0000278
2,2,0.000109
3,3,0.0007623
4,4,0.0001497
5,5,0.0034445
6,6,0.5565743
7,6,0.2137981
8,11,23.1462883
