Scramble Length,IDA* Moves,IDA* Time (s)
1,1,0.000002087
2,2,0.00000199
3,3,0.000003771
4,4,0.000004744
5,5,0.000010294
6,6,0.000395
7,7,0.001372427
8,8,0.028745085
9,9,0.408555576
10,10,3.921836245
